weekid,week_position,song,performer,weeks_on_chart,peak_position,spotify_track_duration_ms,spotify_track_explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
2009-12-26,51,My Life Would Suck Without You,Glee Cast,1,51,211800,false,0.471,0.663,9,-6.284,true,0.0348,0.0177,0.0,0.0801,0.449,145.078,4
2014-01-04,51,I Have Nothing,Tessanne Chin,1,51,231141,false,0.398,0.639,9,-3.517,false,0.0338,0.235,0.0,0.0972,0.197,154.247,3
2017-07-29,51,Family Feud,JAY-Z Featuring Beyonce,1,51,251413,true,,,,,,,,,,,,
2018-12-22,51,I Don't Let Go,XXXTENTACION,1,51,,,,,,,,,,,,,,
2019-06-01,51,I Think,"Tyler, The Creator",1,51,212013,true,0.826,0.579,8,-8.241,false,0.0801,0.00881,0.0,0.129,0.431,121.075,4
2019-09-07,51,I Think He Knows,Taylor Swift,1,51,173386,false,0.897,0.366,0,-8.029,true,0.0569,0.00889,0.000353,0.0715,0.416,100.003,4
2020-05-16,51,Losses,Drake,1,51,271183,true,0.551,0.57,1,-7.385,false,0.351,0.28,0.0,0.424,0.505,85.687,4
2010-10-16,52,I'm A Slave 4 U,Glee Cast,1,52,204053,false,0.909,0.779,0,-4.004,false,0.136,0.409,0.000681,0.0398,0.955,110.022,4
2011-04-02,52,Misery,Glee Cast,1,52,188800,false,0.749,0.631,7,-5.826,true,0.0569,0.188,0.0,0.11,0.812,102.962,4
2011-09-17,52,MegaMan,Lil Wayne,1,52,198280,true,0.504,0.856,11,-5.024,false,0.286,0.0114,0.0,0.256,0.335,101.866,5
2019-09-21,52,Myself,Post Malone,1,52,158120,true,0.476,0.701,0,-4.234,true,0.0349,0.102,0.0,0.242,0.405,163.882,4
2020-12-26,52,Happiness,Taylor Swift,1,52,315146,true,0.559,0.334,11,-10.733,true,0.0376,0.87,0.0,0.114,0.211,122.079,4
2021-05-29,52,Fractions,Nicki Minaj,1,52,181690,true,0.924,0.523,0,-6.362,true,0.132,0.011,0.0,0.17,0.144,131.892,4
2009-04-04,53,Forever,Rascal Flatts,1,53,256853,false,0.463,0.717,3,-6.88,true,0.0318,0.171,0.0,0.118,0.219,90.028,4
2009-12-26,53,Don't Rain On My Parade,Glee Cast,1,53,165493,false,0.483,0.691,4,-5.223,true,0.0805,0.598,0.0,0.0918,0.597,79.666,4
2011-04-02,53,Hell To The No,Glee Cast,1,53,184853,false,0.703,0.952,7,-3.079,true,0.135,0.0272,0.00721,0.0619,0.906,131.96,4
2011-10-22,53,Fix You,Glee Cast,1,53,274906,false,0.441,0.411,3,-7.839,true,0.0316,0.103,0.0000387,0.115,0.277,133.967,4
2018-05-05,53,Intro,J. Cole,1,53,190176,true,0.678,0.648,2,-5.892,true,0.445,0.147,0.0,0.182,0.635,94.336,4
2018-08-18,53,Houstonfornication,Travis Scott,1,53,217828,true,0.689,0.723,0,-4.052,false,0.0836,0.0985,0.0,0.158,0.288,160.042,4
2019-04-13,53,I Love You,Billie Eilish,1,53,291796,false,0.421,0.131,0,-18.435,true,0.0382,0.952,0.00453,0.109,0.12,137.446,4
2019-09-21,53,I Know,Post Malone,1,53,141413,true,0.666,0.603,1,-5.671,true,0.0763,0.497,0.0,0.112,0.262,102.94,4
2020-05-02,53,LIGHTSKIN SH*T,DaBaby Featuring Future & jetsonmade,1,53,,,,,,,,,,,,,,
2010-10-30,54,Move That Body,Nelly Featuring T-Pain & Akon,1,54,205013,false,0.827,0.765,5,-6.793,false,0.0366,0.0000296,0.00000327,0.131,0.545,111.011,4
2010-11-27,54,Marijuana,Kid Cudi,1,54,260200,true,0.672,0.403,8,-9.809,false,0.0273,0.829,0.823,0.272,0.54,140.978,4
2020-03-14,54,Get Ugly,Lil Baby,1,54,155832,true,0.681,0.414,1,-6.944,false,0.223,0.177,0.0,0.178,0.0734,148.03,4
2010-01-02,55,Empire State Of Mind (Part II) Broken Down,Alicia Keys,1,55,216480,false,0.479,0.368,6,-7.784,true,0.0341,0.739,0.000041,0.118,0.142,92.959,4
2017-07-29,55,Kill Jay Z,JAY-Z,1,55,178066,true,,,,,,,,,,,,
2018-12-15,55,Intro,Meek Mill,1,55,213402,true,0.678,0.76,1,-5.546,true,0.221,0.0557,0.0,0.359,0.24,96.044,4
2019-10-12,55,GOSPEL,"DaBaby Featuring Chance The Rapper, Gucci Mane & YK Osiris",1,55,214893,true,0.676,0.664,8,-4.435,true,0.343,0.0387,0.0,0.0475,0.838,161.867,4
2021-02-20,55,GNF (OKOKOK),Polo G,1,55,116255,true,0.753,0.659,8,-9.671,true,0.416,0.659,0.0,0.098,0.459,146.022,4
2006-04-22,56,Every Day Is Exactly The Same,Nine Inch Nails,1,56,294893,false,0.626,0.92,0,-6.153,true,0.0496,0.0262,0.075,0.134,0.421,144.032,4
2009-10-31,56,Keep Holding On,Glee Cast,1,56,244333,false,0.311,0.637,7,-6.303,true,0.0347,0.175,0.0,0.483,0.102,160.745,3
2010-10-16,56,Me Against The Music,Glee Cast,1,56,225440,false,0.829,0.909,11,-5.836,false,0.0686,0.0878,0.0,0.193,0.791,120.011,4
2011-02-26,56,Fat Bottomed Girls,Glee Cast,1,56,252173,false,0.514,0.711,2,-5.774,true,0.0433,0.0206,0.0,0.172,0.424,91.007,4
2012-02-18,56,Human Nature,Glee Cast,1,56,204853,false,0.436,0.402,0,-8.869,false,0.108,0.544,0.0,0.142,0.385,92.758,4
2012-03-10,56,Fly / I Believe I Can Fly,Glee Cast,1,56,213026,false,0.526,0.849,10,-4.785,true,0.0394,0.023,0.0,0.186,0.232,121.993,4
2018-03-24,56,Indica Badu,Logic Featuring Wiz Khalifa,1,56,260320,true,0.715,0.723,7,-3.263,true,0.191,0.0441,0.000834,0.102,0.97,77.02,4
2018-07-14,56,Final Fantasy,Drake,1,56,219960,true,0.5,0.448,0,-10.977,true,0.442,0.422,0.00000803,0.115,0.104,144.204,1
2020-10-17,56,My Dawg,21 Savage & Metro Boomin,1,56,,,,,,,,,,,,,,
2008-05-17,57,Give It 2 Me,Madonna,1,57,287906,false,0.837,0.954,8,-3.512,false,0.0414,0.0933,0.000405,0.143,0.972,127.019,4
2010-03-06,57,Hero,Christopher Wilde,1,57,196893,false,0.333,0.902,3,-4.65,true,0.123,0.0279,0.0,0.115,0.601,185.539,4
2011-07-16,57,I Won't Back Down,Blake Shelton & Dia Frampton,1,57,199493,false,0.494,0.762,10,-2.885,true,0.0441,0.00268,0.00538,0.472,0.653,114.1,4
2016-12-31,57,Everybody Dies,J. Cole,1,57,161826,true,0.617,0.686,2,-9.858,true,0.245,0.3,0.0000136,0.105,0.544,79.252,4
2018-07-14,57,March 14,Drake,1,57,,,,,,,,,,,,,,
2019-06-01,57,Jealous,"DJ Khaled Featuring Chris Brown, Lil Wayne & Big Sean",1,57,255101,true,0.614,0.685,10,-3.684,true,0.147,0.0133,0.0,0.313,0.61,94.9,4
